gyroX,gyroY,gyroZ,accX,accY,accZ,pitch,roll,yaw,type
235.41,54.75,-230.22,0.27,1.75,0.9,14.27,114.91,-91.1,1
240.66,59.63,-224.98,0.27,1.81,0.89,20.06,124.9,-84.65,1
249.63,69.34,-220.46,0.28,1.87,0.89,24.27,136.02,-76.98,1
254.82,77.21,-213.62,0.28,1.91,0.9,26.47,148.03,-68.46,1
255.62,83.56,-209.9,0.28,2.02,0.91,26.68,160.28,-59.54,1
255.37,92.29,-207.76,0.32,2.05,0.94,24.84,172.35,-50.74,1
254.09,102.23,-207.76,0.36,2.04,0.92,20.87,-176.31,-42.62,1
251.89,113.77,-207.82,0.39,2.05,0.89,15.03,-166,-35.62,1
245.36,125.61,-207.09,0.32,2.04,0.86,7.74,-156.89,-29.72,1
238.4,129.52,-206.48,0.27,2,0.84,-0.71,-148.77,-25.06,1
229,133.24,-205.2,0.22,1.95,0.83,-9.98,-141.46,-21.46,1
215.58,135.62,-199.28,0.21,1.91,0.81,-19.77,-134.74,-18.89,1
201.72,133,-191.47,0.18,1.85,0.77,-29.68,-128.35,-17.38,1
139.95,83.92,-131.23,-0.08,1.59,0.53,-35.72,-125.01,-15.75,1
112.85,41.32,-111.08,-0.07,1.58,0.53,-41.23,-122.47,-13.74,1
101.99,29.3,-103.21,-0.08,1.55,0.54,-46.24,-120.81,-11.2,1
89.66,9.58,-96.31,-0.09,1.55,0.57,-51.05,-119.99,-8.1,1
77.82,-6.77,-91.49,-0.1,1.52,0.6,-55.49,-120.55,-4,1
65.12,-18.86,-84.84,-0.12,1.52,0.64,-59.55,-122.62,1.19,1
55.48,-28.5,-79.16,-0.11,1.5,0.66,-63.18,-126.63,7.91,1
45.41,-33.57,-73.43,-0.12,1.56,0.71,-66.37,-132.6,16.14,1
36.19,-36.44,-72.33,-0.13,1.59,0.72,-69.03,-141.33,26.65,1
26.67,-39.18,-71.66,-0.15,1.59,0.74,-70.92,-153.16,39.75,1
18.13,-38.88,-68.54,-0.15,1.6,0.77,-71.85,-167.11,54.46,1
11.47,-37.78,-68.97,-0.16,1.58,0.78,-71.76,177.66,70.07,1
5.13,-33.08,-69.09,-0.12,1.59,0.83,-70.64,163.01,84.78,1
-0.79,-29.11,-68.42,-0.12,1.61,0.83,-68.7,150.26,97.36,1
-3.97,-26.67,-68.79,-0.13,1.59,0.85,-66.13,139.79,107.46,1
-9.22,-21,-67.87,-0.15,1.58,0.85,-63.04,131.24,115.39,1
-15.62,-18.8,-66.35,-0.16,1.59,0.85,-59.73,124.14,121.54,1
-22.95,-17.58,-64.58,-0.22,1.61,0.83,-56.07,118.26,126.07,1
-32.23,-20.08,-62.26,-0.28,1.64,0.81,-52.2,113.29,129.2,1
-41.63,-26.98,-61.28,-0.35,1.64,0.82,-48.11,109.17,130.9,1
-51.64,-40.65,-60.55,-0.48,1.68,0.81,-43.72,105.77,131.13,1
-62.07,-57.92,-61.4,-0.55,1.71,0.78,-39.02,103,129.82,1
-956.36,-471.37,305.05,1.04,1.1,0.89,-51.31,79.43,106.72,1
-1054.81,-452.03,335.33,0.9,1.09,0.88,-69.13,54.92,86.99,1
